
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.07
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0343_0001.xyz      1   3.50     283.61      37.45       0.00
     mol_0344_0001.xyz      1   3.50     301.40      42.76       0.00
     mol_0345_0001.xyz      1   3.50     278.11      39.35       0.00
     mol_0346_0001.xyz      1   3.50     383.80      34.59       0.00
     mol_0347_0001.xyz      1   3.50     227.38      34.22       0.00
     mol_0348_0001.xyz      1   3.50     361.66      37.96       0.00
     mol_0349_0001.xyz      1   3.50     358.41      32.24       0.00
     mol_0350_0001.xyz      1   3.50     300.16      42.00       0.00
     mol_0351_0001.xyz      1   3.50     180.39      37.04       0.00
     mol_0352_0001.xyz      1   3.50     351.02      32.69       0.00
     mol_0353_0001.xyz      1   3.50     344.04      34.58       0.00
     mol_0354_0001.xyz      1   3.50     442.25      40.73       0.00
     mol_0355_0001.xyz      1   3.50     321.44      43.61       0.00
     mol_0356_0001.xyz      1   3.50     315.47      34.66       0.00
     mol_0357_0001.xyz      1   3.50     317.18      33.49       0.00
     mol_0358_0001.xyz      1   3.50     327.89      34.01       0.00
     mol_0359_0001.xyz      1   3.50     314.18      32.26       0.00
     mol_0360_0001.xyz      1   3.50     369.38      37.73       0.00
     mol_0361_0001.xyz      1   3.50     218.50      34.56       0.00
     mol_0362_0001.xyz      1   3.50     387.52      32.21       0.00
     mol_0363_0001.xyz      1   3.50     349.00      34.72       0.00
     mol_0364_0001.xyz      1   3.50     364.33      37.15       0.00
     mol_0365_0001.xyz      1   3.50     354.03      30.17       0.00
     mol_0366_0001.xyz      1   3.50     365.16      35.69       0.00
     mol_0367_0001.xyz      1   3.50     348.65      39.05       0.00
     mol_0368_0001.xyz      1   3.50     345.12      50.91       0.00
     mol_0369_0001.xyz      1   3.50     235.72      30.23       0.00
     mol_0370_0001.xyz      1   3.50     278.50      37.28       0.00
     mol_0371_0001.xyz      1   3.50     313.25      42.43       0.00
     mol_0372_0001.xyz      1   3.50     332.61      43.14       0.00
     mol_0373_0001.xyz      1   3.50     325.68      34.58       0.00
     mol_0374_0001.xyz      1   3.50     316.15      48.17       0.00
     mol_0375_0001.xyz      1   3.50     355.98      30.42       0.00
     mol_0377_0001.xyz      1   3.50     347.26      44.21       0.00
