mol_file,atom1_idx,element
mol_0413_0001.xyz,4,N
mol_0414_0001.xyz,9,N
mol_0415_0001.xyz,2,N
mol_0420_0001.xyz,8,N
mol_0423_0001.xyz,9,N
mol_0431_0001.xyz,9,N
mol_0432_0001.xyz,8,N
mol_0434_0001.xyz,25,N
mol_0435_0001.xyz,2,N
mol_0444_0001.xyz,13,N
mol_0447_0001.xyz,14,N
mol_0450_0001.xyz,5,N
mol_0454_0001.xyz,17,N
mol_0468_0001.xyz,12,N
mol_0469_0001.xyz,6,N
mol_0480_0001.xyz,7,N
mol_0481_0001.xyz,9,N
mol_0484_0001.xyz,6,N
mol_0485_0001.xyz,3,N
mol_0490_0001.xyz,13,N
mol_0491_0001.xyz,10,N
mol_0492_0001.xyz,15,N
mol_0493_0001.xyz,14,N
mol_0002_0001.xyz,1,O
mol_0004_0001.xyz,11,O
mol_0005_0001.xyz,3,O
mol_0006_0001.xyz,14,O
mol_0007_0001.xyz,1,O
mol_0011_0001.xyz,18,O
mol_0013_0001.xyz,14,O
mol_0016_0001.xyz,23,O
mol_0020_0001.xyz,5,O
mol_0022_0001.xyz,17,O
mol_0030_0001.xyz,2,O
mol_0033_0001.xyz,19,O
mol_0037_0001.xyz,19,O
mol_0049_0001.xyz,10,O
mol_0050_0001.xyz,2,O
mol_0051_0001.xyz,13,O
mol_0052_0001.xyz,6,O
mol_0055_0001.xyz,26,O
