
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Charry-Tkatchenko atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0335_0001.xyz      1   3.50     416.52      56.75       0.00
     mol_0336_0001.xyz      1   3.50     562.46      45.10       0.00
     mol_0337_0001.xyz      1   3.50     414.10      53.37       0.00
     mol_0338_0001.xyz      1   3.50     432.73      52.13       0.00
     mol_0339_0001.xyz      1   3.50     521.72      52.21       0.00
     mol_0340_0001.xyz      1   3.50     390.53      47.24       0.00
     mol_0341_0001.xyz      1   3.50     396.33      56.73       0.00
     mol_0342_0001.xyz      1   3.50     448.91      45.88       0.00
     mol_0343_0001.xyz      1   3.50     367.65      50.87       0.00
     mol_0344_0001.xyz      1   3.50     395.41      56.36       0.00
     mol_0345_0001.xyz      1   3.50     368.09      47.67       0.00
     mol_0346_0001.xyz      1   3.50     558.45      51.84       0.00
     mol_0347_0001.xyz      1   3.50     332.90      45.47       0.00
     mol_0348_0001.xyz      1   3.50     533.25      56.08       0.00
     mol_0349_0001.xyz      1   3.50     490.24      45.11       0.00
     mol_0350_0001.xyz      1   3.50     404.28      55.55       0.00
     mol_0351_0001.xyz      1   3.50     279.71      54.41       0.00
     mol_0352_0001.xyz      1   3.50     480.63      45.22       0.00
     mol_0353_0001.xyz      1   3.50     457.62      48.59       0.00
     mol_0354_0001.xyz      1   3.50     616.80      54.04       0.00
     mol_0355_0001.xyz      1   3.50     440.48      53.24       0.00
     mol_0356_0001.xyz      1   3.50     411.30      48.64       0.00
     mol_0357_0001.xyz      1   3.50     410.59      46.77       0.00
     mol_0358_0001.xyz      1   3.50     441.48      47.68       0.00
     mol_0359_0001.xyz      1   3.50     444.30      44.45       0.00
     mol_0360_0001.xyz      1   3.50     501.86      52.04       0.00
     mol_0361_0001.xyz      1   3.50     298.74      48.86       0.00
     mol_0362_0001.xyz      1   3.50     528.57      45.07       0.00
     mol_0363_0001.xyz      1   3.50     497.85      49.13       0.00
     mol_0364_0001.xyz      1   3.50     540.06      55.86       0.00
     mol_0365_0001.xyz      1   3.50     497.81      46.15       0.00
     mol_0366_0001.xyz      1   3.50     477.91      48.67       0.00
     mol_0367_0001.xyz      1   3.50     479.66      53.61       0.00
     mol_0368_0001.xyz      1   3.50     469.14      63.80       0.00
     mol_0369_0001.xyz      1   3.50     307.91      46.22       0.00
     mol_0370_0001.xyz      1   3.50     393.83      51.26       0.00
     mol_0371_0001.xyz      1   3.50     409.33      52.42       0.00
     mol_0372_0001.xyz      1   3.50     423.76      55.44       0.00
     mol_0373_0001.xyz      1   3.50     459.64      48.57       0.00
     mol_0374_0001.xyz      1   3.50     446.88      65.45       0.00
     mol_0375_0001.xyz      1   3.50     507.28      47.57       0.00
